"","CollectionSite","CollectionYear","TotalProps","UniqueCollectionDates","Ratio"
"1","Altona Lagoon","2023",80,2,40
"2","Annaberg Bay","2023",85,1,85
"3","Annaberg Bay","2024",119,2,59.5
"4","Brewers Bay","2023",1,1,1
"5","Brewers Bay","2024",64,3,21.3333333333333
"6","Compass Point","2022",5,1,5
"7","Compass Point","2023",295,14,21.0714285714286
"8","Compass Point","2024",207,4,51.75
"9","Magens Bay","2023",26,1,26
"10","Mandahl Bay","2023",57,1,57
"11","Mandahl Bay","2024",94,3,31.3333333333333
"12","Oasis Cove","2021",393,2,196.5
"13","Oasis Cove","2022",115,5,23
"14","Oasis Cove","2023",309,8,38.625
"15","Oasis Cove","2024",276,4,69
"16","Perseverance Bay","2022",27,1,27
"17","Perseverance Bay","2023",833,7,119
"18","Perseverance Bay","2024",1227,7,175.285714285714
"19","Range Cay","2024",1,1,1
"20","STEER","2023",4,1,4
"21","STEER","2024",13,1,13
"22","Salt River","2023",506,7,72.2857142857143
"23","Vessup Bay","2024",10,1,10
