Island,CollectionSite,Lat,Long
St. Thomas,Brewer's Bay,18.33928,-64.975657
St. Thomas,Compass Point,18.319231,-64.865114
St. Thomas,Magens Bay,18.3614,-64.92155
St. Thomas,Mandahl Bay,18.35886,-64.8932
St. Thomas,Perseverance Bay,18.35087,-64.99782
St. Thomas,STEER,18.30824,-64.87326
St. Croix,Salt River,17.78042,-64.75307
St. Croix,Altona Lagoon,17.751485,-64.680133
St. John,Annaberg Bay,18.363707,-64.731214
St. Thomas,Range Cay,18.33954,-64.977497
St. Thomas,Vessup Bay,18.32278,-64.8536
St. Thomas,Oasis Cove,18.320665,-64.867323
