"","CollectionSite","DataUpload?(Initial)","ProcessedBy","DatePlanted","PlanterType","CollectionDate","Species","TagID","Condition","Mass(g)","Width(mm)","totallength(cm)","plumulelength(cm)","hypocotyllength(cm)","HypocotylColor","Roots(Y/N)","Float(Y/N)","NOTES","PartofSomething(C=CommunityEvent,N=nothing,E=experiment,MIC=mangrovesintheclassroomorstormstrongplant)","PlantName","CollectionDateParsed","CollectionYear","CollectionMonth","CollectionDay","Island","Lat","Long"
"1","Altona Lagoon","DIRECT UPLOAD","AJH","7/20/2023","3""TP","07/12/2023","RHMA","4307","H",19.57,"11.6","29","1.4","27.6","G","Y","N",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"2","Altona Lagoon","DIRECT UPLOAD","AJH","7/20/2023","3""TP","07/12/2023","RHMA","4310","H",20.68,"12.1","27.3","1.3","26","G","Y","N",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"3","Altona Lagoon","DIRECT UPLOAD","AJH","7/20/2023","3""TP","07/12/2023","RHMA","4311","H",21.55,"11.8","28.7","1.4","27.3","B","Y","N",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"4","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3470","H",29.04,"11.3","34.7","0.2","34.5","G","Y","N","PLUM CURVED, 1 LEAF DEVELOPED","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"5","Altona Lagoon","DIRECT UPLOAD","AJH","7/20/2023","3""TP","07/12/2023","RHMA","4308","H",15.8,"11.8","22.9","1.5","21.4","G","Y","N",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"6","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3510","H",10.49,"8.8","21.7","1.4","20.3","G","N","N","PLUM BLACK","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"7","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3469","H",13.78,"10.3","20.4","1.2","19.2","G","Y","Y",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"8","Altona Lagoon","DIRECT UPLOAD","AJH","7/20/2023","3""TP","07/12/2023","RHMA","4309","H",20.26,"10.4","33.4","1.2","32.2","G","Y","N",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"9","Altona Lagoon","DIRECT UPLOAD","AJH","7/20/2023","3""TP","07/12/2023","RHMA","4306","H",18.53,"12.1","26.5","1","25.5","G","Y","N",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"10","Altona Lagoon","DIRECT UPLOAD","KH, DG","7/21/2023","3"" TP","07/12/2023","RHMA","4344","H",18.17,"12.5","24.9","1.2","23.7","G","Y","Y",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"11","Altona Lagoon","DIRECT UPLOAD","KH, DG","7/21/2023","3"" TP","07/12/2023","RHMA","4347","H",6.08,"8.7","16.6","1.3","15.3","G","Y","N",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"12","Altona Lagoon","DIRECT UPLOAD","AJH","7/20/2023","3""TP","07/12/2023","RHMA","4305","H",11.83,"9.3","22.5","1.4","21.1","G","Y","N","NICKS","N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"13","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3472","H",25.6,"10.1","35.6","0.3","35.3","G","Y","N",NA,"N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"14","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3473","H",15.73,"9.3","28.2","1.1","27.1","G","Y","N","PLUM BLACK","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"15","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3465","H",19.34,"11.3","27.3","1.4","25.9","G","Y","Y","ACCIDENTLY BROKE OFF PLUM","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"16","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3471","H",18.52,"11.4","27.8","0","27.8","G","N","N","PLUM DEAD","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"17","Altona Lagoon","DIRECT UPLOAD","AJH","7/20/2023","3""TP","07/12/2023","RHMA","4304","H",24.52,"11.6","30.4","1","29.4","G","Y","N",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
"18","Altona Lagoon","DIRECT INPUT","KH/AD",NA,"3"" TP","02/22/2023","RHMA","3506","H",17.64,"1.6","21.4","1.2","20.2","G","N","N","PLUM BLACK","N",NA,2023-02-22,"2023","02","22","St. Croix",17.751485,-64.680133
"19","Altona Lagoon","DIRECT UPLOAD","KH, DG","7/21/2023","3"" TP","07/12/2023","RHMA","4346","H",6.39,"8.7","16.8","0.9","15.9","G","Y","N",NA,"N",NA,2023-07-12,"2023","07","12","St. Croix",17.751485,-64.680133
